artist_name,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,Hit
50 Cent,Ayo Technology,0.0943,0.442,247947,0.774,0,0.0329,-5.538,0.198,139.775,0.377,1
50 Cent,Candy Shop,0.0253,0.614,209107,0.574,3.20E-05,0.38,-7.961,0.466,125.173,0.755,1
50 Cent,Disco Inferno,0.206,0.925,214227,0.659,7.88E-05,0.279,-4.763,0.231,97.018,0.71,1
50 Cent,In Da Club,0.283,0.865,193467,0.73,0,0.0753,-2.813,0.373,90.096,0.808,1
50 Cent,Just A Lil Bit,0.0322,0.489,237707,0.692,0.00608,0.315,-6.672,0.41,96.946,0.527,1
50 Cent,Outta Control - Remix,0.0268,0.77,247973,0.587,0,0.0621,-5.99,0.265,92.009,0.574,1
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",0.0224,0.81,219400,0.868,0,0.145,-3.521,0.156,81.018,0.884,1
A R I Z O N A,People Crying Every Night,0.219,0.666,221550,0.584,0.000847,0.111,-5.259,0.124,99.997,0.707,0
A Tribe Called Quest,"The Chase, Part II",0.0431,0.803,242373,0.668,0,0.448,-9.546,0.328,93.996,0.695,0
A$AP Ferg,One Night Savage,0.661,0.71,152640,0.837,5.81E-06,0.16,-5.436,0.214,81.099,0.659,0
Aaliyah,I Don't Wanna,0.537,0.705,255093,0.572,0,0.226,-5.603,0.0349,129.999,0.653,1
Aaron Watson,Shut Up And Dance,0.381,0.535,266307,0.376,1.11E-05,0.0692,-8.411,0.027,129.765,0.365,1
AC/DC,Stiff Upper Lip,0.0345,0.588,214560,0.855,0.00786,0.16,-4.205,0.0331,123.69,0.698,0
Adam Lambert,Whataya Want from Me,0.00706,0.44,227320,0.683,0,0.0593,-4.732,0.0489,185.948,0.445,1
Adam Sandler,Creepin' On The Mayor,0.149,0.654,76507,0.366,0,0.196,-16.321,0.557,101.01,0.505,0
Adele,Rolling in the Deep,0.131,0.729,228293,0.756,0,0.0527,-5.119,0.0294,104.945,0.522,1
Adele,Rumour Has It,0.637,0.618,221427,0.753,0,0.0905,-5.05,0.0451,120.041,0.557,1
Adele,Set Fire to the Rain,0.00382,0.61,241693,0.683,1.79E-06,0.125,-3.879,0.0253,108.003,0.466,1
Adolphe Adam,Giselle / Act 2: No. 18 Grand Pas de Deux - Second Half (Alternate Version),0.845,0.322,107186,0.0605,0.71,0.121,-27.353,0.0438,129.978,0.347,0
Adolphe Adam,Giselle: Act I: Variation de Giselle,0.978,0.256,134333,0.0843,0.821,0.388,-20.084,0.0456,85.149,0.0654,0
Adrianne Lenker,Kerina,0.961,0.433,171453,0.234,0.000196,0.112,-11.215,0.0437,205.273,0.522,0
Aer,Pretty Lady (Around Me),0.0285,0.906,153560,0.496,0,0.115,-8.133,0.33,89.969,0.57,0
Against Me!,I Was a Teenage Anarchist - Live,0.119,0.361,234107,0.987,0,0.835,-3.457,0.091,156.349,0.215,0
Against Me!,Miami - Live,0.0156,0.273,252200,0.976,0,0.502,-3.784,0.116,140.138,0.427,0
Agustín Barrios Mangoré,Gavota al estilo antiguo,0.994,0.518,126667,0.0403,0.9,0.1,-30.929,0.0491,77.556,0.46,0
Aimer,AM02:00 - haruka nakamura La Nuit Remix,0.912,0.223,354600,0.315,0,0.098,-8.862,0.0341,179.422,0.337,0
Akon,Don't Matter,0.24,0.79,293053,0.457,0,0.222,-6.231,0.0414,125.249,0.355,1
Akon,I Wanna Love You,0.0442,0.866,247067,0.46,0,0.323,-9.252,0.0423,99.98,0.29,1
Akon,Locked Up,0.0355,0.823,235067,0.567,0,0.103,-4.392,0.103,89.979,0.372,1
Akon,Lonely - Old Version,0.351,0.632,235800,0.533,0,0.236,-7.873,0.0338,90.064,0.595,1
Akon,Right Now (Na Na Na),0.283,0.816,240747,0.851,0,0.543,-4.166,0.19,137.968,0.568,1
Akon,Smack That,0.292,0.937,212360,0.738,0,0.106,-5.301,0.0478,118.994,0.911,1
Alabama,Angels Among Us,0.554,0.375,291853,0.395,0,0.939,-8.471,0.0332,143.066,0.23,0
Alan Jackson,It's Five O'Clock Somewhere,0.208,0.713,230133,0.772,0,0.211,-6.69,0.0372,125.202,0.88,1
Alan Menken,Just Around the Riverbend - Demo,0.788,0.43,329480,0.145,0,0.324,-18.271,0.0472,126.981,0.183,0
Alan Menken,You Came Back,0.459,0.174,313707,0.249,0.437,0.398,-14.249,0.0438,117.578,0.0813,0
Alan Menken,"To Be Free - From ""Aladdin""/Score",0.949,0.155,99253,0.0708,0.0478,0.123,-22.712,0.0376,88.367,0.0488,0
Alan Menken,"Storybook Ending - From ""Enchanted""/Score",0.877,0.163,643907,0.334,0.591,0.0847,-10.417,0.0384,146.806,0.0405,0
Alanis Morissette,Hands Clean,0.00192,0.513,269400,0.82,2.83E-06,0.504,-5.428,0.0299,99.952,0.52,1
Albert King,Crosscut Saw,0.316,0.839,153173,0.487,0.436,0.0271,-10.232,0.0473,122.751,0.883,0
Alessia Cara,Here - 2:00 AM Version,0.903,0.652,225973,0.372,0,0.119,-7.342,0.076,96.739,0.703,1
Alessia Cara,Easier Said,0.0469,0.411,205267,0.793,0,0.0771,-3.995,0.11,111.471,0.611,0
Alex Clare,Too Close,0.0137,0.579,256560,0.731,0,0.113,-4.16,0.0452,126.07,0.284,1
Alex Kyza,Quien Te Dijo (REMIX) (feat. De La Ghetto),0.0158,0.831,295187,0.726,1.13E-05,0.0823,-5.327,0.038,96.998,0.4,0
Alex Rose,Sigues Preguntando,0.322,0.768,207342,0.472,0,0.0936,-6.309,0.138,90.623,0.326,0
Alexis y Fido,Yo Sé Que Quieres,0.207,0.788,236867,0.818,8.73E-06,0.203,-5.317,0.077,88.001,0.889,0
Ali Akbar Khan,Sadra in Sankara Karan,0.932,0.451,404933,0.211,0.00936,0.104,-14.272,0.0705,165.625,0.235,0
Ali Akbar Khan,Rag Alam Bhairav,0.858,0.528,1689627,0.132,0.699,0.0781,-20.981,0.0493,107.521,0.101,0
Ali Farka Touré,Ai Du,0.306,0.57,429973,0.225,0.0586,0.0689,-17.168,0.029,151.78,0.408,0
Alice Deejay,Better Off Alone (Remastered) - 1999 Original Hit Radio,0.0044,0.666,215246,0.854,0.769,0.313,-8.442,0.0565,136.954,0.748,1
Alicia Keys,A Woman's Worth,0.331,0.667,303333,0.41,0,0.064,-8.323,0.138,75.069,0.493,1
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),0.559,0.664,284160,0.465,0.00174,0.125,-9.711,0.0317,127.932,0.281,1
Alicia Keys,Empire State of Mind (Part II) Broken Down,0.739,0.479,216480,0.368,4.10E-05,0.118,-7.784,0.0341,92.959,0.142,1
Alicia Keys,Girl On Fire,0.135,0.482,224920,0.706,0.00106,0.105,-5.762,0.0609,92.494,0.144,1
Alicia Keys,If I Ain't Got You,0.603,0.609,228707,0.445,6.77E-06,0.104,-9.129,0.106,118.393,0.166,1
Alicia Keys,Like You'll Never See Me Again,0.174,0.562,315360,0.658,0.000285,0.102,-8.072,0.0314,127.81,0.268,1
Alicia Keys,No One - Acoustic,0.712,0.379,259570,0.325,0,0.0997,-5.862,0.0331,89.798,0.433,1
Alicia Keys,Try Sleeping with a Broken Heart,0.158,0.496,249013,0.82,0.246,0.13,-5.155,0.112,110.977,0.549,1
Alicia Keys,Un-thinkable (I'm Ready),0.732,0.595,249240,0.507,1.97E-05,0.106,-7.892,0.0618,86.099,0.337,1
Alicia Keys,You Don't Know My Name,0.589,0.263,366733,0.663,0.00451,0.342,-8.264,0.19,167.271,0.25,1
Alkilados,Una Cita - Remix,0.195,0.78,275946,0.845,0,0.284,-4.748,0.0724,95.981,0.694,0
alt-J,Deadcrush,0.0959,0.648,231013,0.622,0.477,0.126,-6.651,0.0578,142.979,0.604,0
Amaro,Me Hablas Claro (feat. Yaga & Mackie),0.108,0.757,204373,0.767,0,0.197,-4.562,0.115,171.974,0.899,0
Amber Run,Noah,0.0169,0.418,234093,0.664,0.000482,0.144,-5.457,0.0346,128.014,0.111,0
American Authors,Best Day Of My Life,0.0629,0.673,194240,0.902,0.000174,0.0552,-2.378,0.0347,100.016,0.521,1
Amerie,1 Thing,0.115,0.636,238747,0.946,3.75E-05,0.0416,-4.683,0.332,125.085,0.891,1
Amy Winehouse,Rehab - Remix,0.0477,0.61,232453,0.85,0,0.79,-3.062,0.0668,145.384,0.725,1
anders,I Don't Want Your Love,0.0202,0.804,184344,0.449,3.53E-05,0.137,-4.743,0.0375,95.957,0.346,0
Andrew Applepie,Drowning World,0.272,0.696,233035,0.381,7.81E-05,0.0526,-8.467,0.0579,79.984,0.451,0
Andrew Dice Clay,Speedin',0.601,0.637,86333,0.479,0,0.849,-16.058,0.919,91.132,0.428,0
Andy Grammer,"Honey, I'm Good.",0.0324,0.752,199263,0.775,0,0.351,-7.289,0.0546,122.014,0.595,1
Angel Haze,Werkin' Girls,0.135,0.651,189531,0.876,0,0.224,-7.033,0.357,76.166,0.736,0
Anne Sofie von Otter,No Wonder,0.94,0.337,216627,0.305,0.000122,0.23,-10.505,0.034,106.568,0.296,0
Anonimus,Entre Sabanas (feat. Rowsy),0.489,0.743,271613,0.624,0,0.105,-5.569,0.0655,104.964,0.315,0
Anoushka Shankar,Beloved - Thievery Corporation Remix,0.00473,0.643,270853,0.832,0.881,0.0867,-6.216,0.0381,159.98,0.911,0
Antonio Caldara,"Santa Francesca Romana: ""Miro che fiumicello""",0.992,0.271,496187,0.098,0.0336,0.0911,-15.94,0.0457,141.788,0.22,0
Antonio Pinto,Without a Roof,0.389,0.377,187760,0.379,0.92,0.103,-15.676,0.0356,134.932,0.0364,0
Antonio Vivaldi,"Mandolin Concerto in C Major, RV 425: I. Allegro",0.767,0.464,133681,0.312,0.0051,0.313,-19.499,0.0356,119.622,0.701,0
Antonio Vivaldi,"Viola d'amore Concerto in A Minor, RV 397: I. Vivace",0.929,0.487,190030,0.19,2.39E-05,0.105,-17.655,0.0476,139.432,0.696,0
Arcangel,Date Cuenta,0.53,0.597,204080,0.722,0.000804,0.236,-5.861,0.125,99.69,0.749,0
Ariana Grande,Break Free,0.0064,0.687,214840,0.702,4.35E-05,0.204,-5.324,0.0455,129.956,0.284,1
Ariana Grande,Love Me Harder,0.00937,0.472,236133,0.714,0,0.0764,-4.389,0.0334,98.992,0.24,1
Ariana Grande,One Last Time,0.093,0.628,197267,0.593,1.65E-06,0.096,-5.036,0.0323,125.026,0.104,1
Ariana Grande,Problem,0.0192,0.66,193920,0.805,8.83E-06,0.159,-5.352,0.153,103.009,0.625,1
Ariana Grande,The Way,0.325,0.644,227027,0.879,0,0.0742,-3.179,0.147,82.518,0.83,1
Ariana Grande,Only 1,0.5,0.656,193987,0.842,0,0.0787,-5.714,0.24,101.364,0.384,0
Arthur Lyman,Yellow Bird,0.954,0.561,164920,0.0335,0.86,0.0949,-29.467,0.0513,119.319,0.703,0
Ashanti,Foolish,0.358,0.477,227387,0.728,0,0.11,-5.71,0.0831,89.209,0.69,1
Ashanti,Rock Wit U (Awww Baby),0.433,0.712,209120,0.805,0,0.179,-3.142,0.0739,94.973,0.851,1
Asher Roth,I Love College,0.107,0.708,241933,0.815,0,0.326,-4.044,0.25,86.493,0.657,1
Ashlee Simpson,Pieces Of Me,0.0535,0.5,217440,0.802,0,0.103,-4.205,0.104,174.039,0.739,1
Ashley Tisdale,Love Me & Let Me Go,0.25,0.676,166200,0.759,0.00377,0.156,-5.695,0.0517,79.011,0.796,0
ASIAN KUNG-FU GENERATION,To Your Town,0.00243,0.517,215867,0.89,5.23E-06,0.0623,-4.763,0.0353,155.049,0.699,0
Audioslave,Like a Stone,0.00797,0.614,293960,0.568,0,0.0997,-5.477,0.0276,107.849,0.516,1
Audioslave,Light My Way,0.00132,0.353,303400,0.705,1.34E-06,0.115,-4.776,0.0362,81.527,0.447,0
Audrey Assad,Jesus' blood Never Failed Me Yet,0.709,0.138,134155,0.414,0.134,0.114,-15.331,0.0445,86.485,0.0984,0
August Alsina,Why I Do It,0.00311,0.691,221040,0.675,0,0.123,-7.291,0.156,126.037,0.644,0
Authority Zero,When We Rule the World,0.00029,0.278,239973,0.962,4.57E-05,0.296,-2.842,0.0552,199.177,0.59,0
Avant,Read Your Mind,0.277,0.75,263507,0.391,5.99E-06,0.0759,-7.087,0.0831,146.191,0.711,1
Avant,Separated,0.284,0.793,255600,0.49,0,0.262,-6.241,0.0273,108.238,0.632,1
Avenged Sevenfold,Unholy Confessions,0.000359,0.448,283827,0.875,0.00109,0.255,-5.446,0.0666,92.53,0.524,0
Average White Band,When They Bring Down the Curtain,0.406,0.636,282973,0.555,5.96E-05,0.0883,-9.999,0.0363,109.859,0.688,0
Avicii,Hey Brother,0.0279,0.537,255093,0.777,6.12E-05,0.0838,-4.829,0.0473,124.943,0.427,1
Avicii,Wake Me Up - EDX Miami Sunset Remix,0.00522,0.728,392812,0.924,0.0495,0.362,-4.366,0.0839,127.984,0.697,1
Avicii,For A Better Day,0.0386,0.639,206067,0.843,0.0829,0.108,-3.393,0.0334,135.002,0.317,0
Avril Lavigne,I'm with You,0.08,0.457,223067,0.406,0,0.117,-7.462,0.0291,151.95,0.208,1
Avril Lavigne,My Happy Ending,0.00136,0.414,242413,0.936,0,0.369,-2.407,0.0758,170.229,0.74,1
Avril Lavigne,Sk8er Boi,6.79E-05,0.487,204000,0.9,0,0.358,-4.417,0.0482,149.937,0.484,1
Avril Lavigne,What the Hell,0.00472,0.578,220707,0.926,0.0127,0.14,-3.689,0.0548,149.976,0.877,1
AWOLNATION,Sail - Unlimited Gravity Remix,0.18,0.583,349538,0.47,0.207,0.142,-7.766,0.0648,149.844,0.42,1
ayokay,One in the Same,0.00473,0.645,196893,0.751,2.18E-05,0.105,-5.432,0.0316,80.002,0.308,0
Aziz Ansari,Gentlemen vs. Dudes,0.828,0.529,165862,0.971,0,0.836,-3.743,0.892,88.486,0.199,0
B.o.B,Airplanes (feat. Hayley Williams),0.11,0.66,180480,0.867,0,0.0368,-4.285,0.116,93.033,0.377,1
B.o.B,Magic (feat. Rivers Cuomo),0.0127,0.549,196133,0.932,0,0.347,-4.11,0.343,82.439,0.787,1
B.o.B,Nothin' on You (feat. Bruno Mars),0.386,0.688,268320,0.853,0,0.0862,-5.814,0.0493,103.993,0.743,1
B2K,"Bump, Bump, Bump (feat. P. Diddy)",0.107,0.838,279000,0.661,0,0.115,-6.387,0.196,95.493,0.887,1
Baauer,Harlem Shake,0.0111,0.452,196664,0.794,0.00182,0.416,-5.151,0.0483,137.825,0.282,1
Baby Bash,Cyclone (feat. T-Pain) - Main,0.0112,0.644,222053,0.725,0,0.146,-4.622,0.0701,77.977,0.584,1
Baby Bash,Suga Suga,0.657,0.701,239027,0.75,3.13E-06,0.0845,-3.191,0.274,82.531,0.515,1
Baby Boy Da Prince,The Way I Live - Main Explicit,0.0176,0.876,324907,0.448,0,0.0862,-8.303,0.267,90.019,0.72,1
Backstreet Boys,Show Me the Meaning of Being Lonely,0.231,0.63,234960,0.625,0,0.0765,-5.088,0.0252,167.998,0.683,1
Bad Brains,Don't Need It,0.00728,0.219,67293,0.922,0.00636,0.183,-10.731,0.074,168.363,0.0968,0
Bad Brains,Stay Close to Me,0.0601,0.546,144133,0.815,0.000334,0.267,-7.36,0.109,96.573,0.898,0
Bad Brains,Untitled (Bonus Track),0.124,0.47,130853,0.476,6.73E-05,0.408,-15.735,0.505,159.064,0.679,0
Bad Meets Evil,Lighters,0.343,0.651,303813,0.671,0,0.119,-8.183,0.27,90.135,0.161,1
Ballyhoo!,Mixtape,0.059,0.609,231856,0.863,0,0.356,-5.496,0.033,158.057,0.963,0
BANKS,Alaska,0.699,0.641,187133,0.446,0.0288,0.229,-8.861,0.25,172.116,0.72,0
BANKS,Sawzall,0.813,0.529,219907,0.239,0.000181,0.104,-9.162,0.0504,120.919,0.173,0
Bart Crow,"Dear Music,",0.517,0.517,261720,0.646,9.26E-05,0.0855,-8.75,0.0698,170.06,0.53,0
Bastille,Pompeii - Audien Remix,0.00353,0.642,352969,0.79,4.10E-05,0.103,-3.495,0.0424,128.013,0.214,1
Bazanji,23 Freestyle,0.107,0.705,99706,0.765,0,0.122,-7.495,0.0513,135.957,0.241,0
BBMak,Back Here,0.0796,0.618,218200,0.941,2.51E-06,0.0755,-3.119,0.0341,104.774,0.929,1
Be Like Max,I Disagree,0.0695,0.466,120027,0.995,0,0.752,-3.901,0.104,154.967,0.544,0
Bear McCreary,The Uprising Begins,0.00425,0.536,117467,0.522,0.93,0.341,-13.772,0.0433,122.181,0.396,0
Beck,Dear Life,0.0026,0.512,224237,0.672,0.00716,0.254,-5.44,0.028,166.004,0.552,0
Becky G,Shower,0.0317,0.699,206167,0.529,3.59E-05,0.285,-7.548,0.0487,119.987,0.121,1
Becky G,Mayores,0.141,0.743,202453,0.855,0.0045,0.099,-3.976,0.0436,96.989,0.871,0
Bedouin,Hologram,0.000148,0.779,488813,0.544,0.884,0.116,-10.935,0.0463,118,0.163,0
Beenie Man,Dude - (The Remix) - Album Version (Explicit),0.0507,0.786,273387,0.869,0,0.11,-6.428,0.16,93.993,0.964,1
Ben Howard,Move Like You Want - Live,0.111,0.45,501133,0.748,0.00292,0.962,-8.164,0.0388,121.753,0.633,0
benny blanco,More/Diamond Ring (feat. Ty Dolla $ign & 6LACK),0.813,0.489,182886,0.446,4.83E-05,0.096,-9.468,0.298,75.343,0.299,0
Bent,I Love My Man,0.000331,0.607,349507,0.672,0.649,0.109,-10.022,0.0283,144.049,0.407,0
Bethel Music,One Thirst,0.143,0.194,425493,0.37,2.10E-06,0.101,-11.191,0.0337,141.564,0.11,0
Betty Noyes,"No Longer An Elephant / Dumbo's Sadness / A Visit In The Night / Baby Mine - From ""Dumbo""/Soundtrack Version",0.99,0.191,215347,0.124,0.335,0.0965,-23.729,0.0378,102.571,0.0734,0
Betty Who,"All Things (From ""Queer Eye"")",0.076,0.681,104331,0.726,5.13E-06,0.0761,-6.924,0.233,127.892,0.447,0
Beyoncé,Beautiful Liar,0.00554,0.764,199853,0.751,0.000237,0.164,-3.74,0.0703,91.977,0.418,1
Beyoncé,Best Thing I Never Had,0.143,0.545,253747,0.649,1.57E-05,0.0894,-4.062,0.0324,99.099,0.297,1
Beyoncé,Check On It (feat. Slim Thug),0.0701,0.702,210427,0.89,0,0.385,-3.794,0.214,166.115,0.887,1
Beyoncé,Crazy In Love - Remix,0.0619,0.23,226400,0.694,0.00191,0.112,-6.828,0.109,172.751,0.26,1
Beyoncé,Diva,0.0488,0.875,200613,0.551,0.00728,0.0537,-6.744,0.317,146.092,0.861,1
Beyoncé,Drunk in Love,0.00969,0.589,323480,0.621,0.00104,0.181,-6.902,0.0468,140.03,0.401,1
Beyoncé,Irreplaceable,0.0293,0.447,227853,0.694,5.46E-06,0.167,-4.637,0.382,175.868,0.509,1
Beyoncé,Naughty Girl,0.237,0.588,208573,0.461,1.54E-05,0.0913,-8.686,0.161,200.053,0.659,1
Beyoncé,Partition,0.0296,0.412,319467,0.441,0.0726,0.306,-11.523,0.291,185.571,0.174,1
Beyoncé,Single Ladies (Put a Ring on It),0.0383,0.426,193213,0.584,0,0.188,-5.293,0.296,193.437,0.272,1
Beyoncé,Sweet Dreams,0.0895,0.694,208067,0.825,1.86E-05,0.0618,-5.986,0.111,121.949,0.788,1
Big D and the Kids Table,Steady Riot,0.000836,0.43,158493,0.91,0.000104,0.0867,-3.751,0.102,88.966,0.739,0
Big Jay Oakerson,I Need a Girl...,0.789,0.562,226834,0.743,0,0.776,-11.07,0.902,85.434,0.506,1
Big Sean,Blessings - Extended Version,0.285,0.751,301960,0.6,0,0.128,-8.11,0.395,118.397,0.137,1
Big Sean,Dance (ASS) Remix,0.0283,0.822,220347,0.711,0.00129,0.236,-6.741,0.275,79.949,0.681,1
Big Sean,I Don't Fuck With You,0.0372,0.822,284387,0.734,0,0.325,-5.48,0.0738,97.998,0.425,1
Big Sean,My Last,0.098,0.387,254120,0.773,0,0.209,-5.685,0.17,78.629,0.368,1
Big Smo,Boss Of The Stix,0.00699,0.708,171560,0.767,0,0.053,-6.35,0.183,150.13,0.402,0
Big Tymers,Still Fly,0.0349,0.674,335613,0.61,1.12E-05,0.343,-3.546,0.227,177.943,0.548,1
Bill Burr,Free Dog,0.905,0.609,212227,0.892,2.16E-06,0.915,-8.602,0.882,106.421,0.504,0
Bill Engvall,In Vitro,0.817,0.56,238280,0.75,0,0.958,-10.919,0.958,84.507,0.286,0
Bill Hicks,He Had a Gun,0.834,0.321,85333,0.979,0,0.571,-10.969,0.882,91.918,0.0619,0
Bill Hicks,The War on Drugs,0.852,0.444,554360,0.658,0,0.801,-15.822,0.859,84.645,0.232,0
Bill Withers,Hope She'll Be Happier,0.887,0.423,230147,0.066,0.000189,0.131,-13.267,0.0298,78.143,0.0717,0
Billie Holiday,I Wished On the Moon (with Teddy Wilson & His Orchestra),0.737,0.741,181240,0.258,0.000661,0.146,-11.811,0.0412,112.008,0.519,0
Billy Currington,People Are Crazy,0.229,0.657,232053,0.714,0.000744,0.127,-4.986,0.0265,141.969,0.361,1
Birdtalker,Free Like a Broken Heart (Acoustic),0.654,0.592,213653,0.389,0,0.539,-9.824,0.0281,91.998,0.556,0
Bishop Briggs,Baby - Acoustic,0.714,0.757,201253,0.359,0,0.0878,-8.807,0.0441,134.974,0.32,0
Bishop Briggs,Water,0.557,0.273,201840,0.432,7.56E-05,0.0868,-6.773,0.042,84.768,0.275,0
Björk,Mutual Core,0.514,0.423,306400,0.357,1.67E-06,0.485,-9.759,0.0592,119.917,0.135,0
bLAck pARty,Best View,0.152,0.729,219214,0.496,0.0531,0.115,-10.196,0.0733,81.052,0.559,0
Black Tiger Sex Machine,Replicants - Kompany Remix,0.0168,0.465,230400,0.989,0.31,0.132,-0.66,0.198,149.788,0.127,0
Black Uhuru,Big Spliff,0.0239,0.811,246360,0.495,0.796,0.0612,-8.169,0.0847,95.033,0.427,0
Blake Shelton,Austin,0.188,0.605,230333,0.609,0,0.0982,-7.063,0.0278,119.914,0.275,1
Blake Shelton,Boys 'Round Here (feat. Pistol Annies & Friends),0.251,0.611,288760,0.688,2.35E-06,0.248,-6.369,0.0529,169.895,0.649,1
Blake Shelton,Sure Be Cool If You Did,0.255,0.576,215720,0.726,0,0.108,-4.625,0.035,136.802,0.582,1
Blake Shelton,Turnin' Me On,0.309,0.628,288573,0.708,1.32E-06,0.109,-7.045,0.0287,111.047,0.276,1
Blaque,Bring It All to Me,0.000479,0.695,218187,0.579,0,0.0556,-5.066,0.0325,88.957,0.726,1
blink-182,All The Small Things,0.0122,0.439,168000,0.891,0,0.547,-4.764,0.057,148.599,0.695,1
Bloc Party,This Modern Love,0.00306,0.453,265707,0.938,0.00318,0.132,-5.344,0.0386,160.005,0.261,0
Blood Orange,Orlando,0.546,0.764,182893,0.534,0.0823,0.404,-10.966,0.0982,143.519,0.647,0
Blu Cantrell,Hit 'Em up Style (Oops!),0.173,0.698,250493,0.722,0,0.289,-5.319,0.0799,90.116,0.67,1
Blue Lab Beats,The Idea,0.107,0.37,234843,0.663,0.00475,0.0749,-5.665,0.065,180.811,0.568,0
Blues Saraceno,Dogs of War,0.79,0.474,176960,0.439,0.463,0.133,-10.329,0.0282,94.2,0.327,0
BluntOne,Self Medication,0.115,0.49,131500,0.415,0.865,0.184,-10.324,0.312,150.02,0.294,0
Blur,There Are Too Many Of Us,0.067,0.716,265494,0.631,0.427,0.115,-5.274,0.0259,110.027,0.754,0
Bo Burnham,From God's Perspective,0.775,0.338,261222,0.478,0,0.737,-5.895,0.0404,86.862,0.357,0
Bobby Brown,Don't Be Cruel,0.000127,0.781,408307,0.731,3.06E-05,0.235,-12.277,0.0565,102.398,0.717,0
Bobby Oroza,Your Love Is Too Cold,0.0434,0.51,237657,0.725,1.65E-06,0.096,-8.549,0.0362,132.483,0.778,0
Bobby Shmurda,Bobby Bitch,0.0136,0.921,160383,0.525,0,0.313,-8.186,0.413,130.747,0.794,0
Bobby V.,"Slow Down - 12"" Version",0.179,0.568,258667,0.732,4.92E-06,0.401,-4.896,0.103,186.048,0.626,1
Bobcat Goldthwait,"David Crosby's Sperm, And Why The Hollywood Squares Downsized Me",0.916,0.436,584427,0.923,0,0.971,-5.59,0.922,91.044,0.233,0
Bon Iver,Holocene,0.943,0.375,336613,0.304,0.303,0.126,-14.52,0.0302,147.989,0.147,0
Bon Jovi,Who Says You Can't Go Home,0.048,0.534,230280,0.87,0,0.241,-3.582,0.0344,131.688,0.808,1
Boney James,Stone Groove,0.141,0.727,285507,0.629,0.891,0.0466,-9.865,0.0402,104.982,0.547,0
